,Method_name,Sum_of_avg_across_patients
1,Tigress,0.929065723175239
2,PCohF,0.923685105871964
3,BCohF,0.903033625089022
4,BCorrU,0.881940181491559
5,Genie,0.841170736173594
6,PCorrD,0.840750370345341
7,BCorrD,0.840158352864321
8,COH1,0.833850682470601
9,pCOH2,0.830915915004072
10,pCOH1,0.80169277322325
11,COH2,0.800358005977161
12,dDTF,0.800176756204355
13,BH2U,0.793011581165244
14,BTEU,0.785092822102274
15,PMITD1,0.784514819247255
16,PMITD2,0.783411220692518
17,PTEU,0.780826040575117
18,BMITD2,0.775926615292089
19,BMITD1,0.775565941548156
20,BH2D,0.774872673357147
21,PTED,0.772110387732001
22,PH2D,0.770582620479413
23,Smvar,0.770508091847258
24,BTED,0.768341985216255
25,DC1,0.767962906657812
26,GPDC,0.7667361867869
27,ffDTF,0.763134704717043
28,DTF,0.762836870432201
29,AS,0.762590047013468
30,Af,0.762126011539534
31,MVAR,0.761867627463684
32,PCorrU,0.761321540166803
33,oPDCF,0.761145704423002
34,PDC,0.761104508903728
35,hmvar,0.759723527813019
36,PMITU,0.754428653340289
37,PH2U,0.745821751602767
38,GGC,0.741002383010804
39,BMITU,0.730378194576608
40,BCohW,0
41,PCohW,0
