,Method_name,Sum_of_avg_across_patients
1,Tigress,0.928850634920635
2,PCohF,0.921804063492063
3,BCohF,0.899494666666667
4,BCorrU,0.880199746031746
5,PCorrD,0.854637206349206
6,BCorrD,0.852221047619048
7,Genie,0.85016980952381
8,dDTF,0.84483419047619
9,pCOH2,0.843041904761905
10,BTEU,0.842098190476191
11,COH1,0.841457555555556
12,PTEU,0.839296603174603
13,PMITD1,0.837802444444445
14,PMITD2,0.837584698412698
15,PTED,0.83587726984127
16,BTED,0.834453238095238
17,BMITD2,0.834359523809524
18,BH2D,0.83383946031746
19,BMITD1,0.83378946031746
20,GPDC,0.833777555555555
21,PH2D,0.833102380952381
22,DC1,0.83301853968254
23,AS,0.832015365079365
24,ffDTF,0.831896095238095
25,DTF,0.831614063492063
26,Af,0.831435206349206
27,MVAR,0.831316158730159
28,PDC,0.831149492063492
29,oPDCF,0.830945523809524
30,hmvar,0.830656349206349
31,GGC,0.826910603174603
32,COH2,0.810653873015873
33,pCOH1,0.809076190476191
34,BH2U,0.805500126984127
35,Smvar,0.790989587301587
36,PCorrU,0.786419301587302
37,PMITU,0.777563841269841
38,PH2U,0.771296952380952
39,BMITU,0.752838222222222
40,BCohW,0
41,PCohW,0
