,sim1Sub001,sim1Sub002,sim1Sub003,sim1Sub004,sim1Sub005,sim1Sub006,sim1Sub007,sim1Sub008,sim1Sub009,sim1Sub010,sim1Sub011,sim1Sub012,sim1Sub013,sim1Sub014,sim1Sub015,sim1Sub016,sim1Sub017,sim1Sub018,sim1Sub019,sim1Sub020,sim1Sub021,sim1Sub022,sim1Sub023,sim1Sub024,sim1Sub025,sim1Sub026,sim1Sub027,sim1Sub028,sim1Sub029,sim1Sub030,sim1Sub031,sim1Sub032,sim1Sub033,sim1Sub034,sim1Sub035,sim1Sub036,sim1Sub037,sim1Sub038,sim1Sub039,sim1Sub040,sim1Sub041,sim1Sub042,sim1Sub043,sim1Sub044,sim1Sub045,sim1Sub046,sim1Sub047,sim1Sub048,sim1Sub049,sim1Sub050
1,0.755,0.7595,0.768,0.7775,0.71,0.752,0.7535,0.7845,0.804,0.7295,0.7235,0.749,0.7665,0.7415,0.7025,0.753,0.7935,0.755,0.813,0.743,0.734,0.777,0.716,0.7925,0.758,0.6695,0.8815,0.7055,0.7145,0.8145,0.7265,0.7205,0.7755,0.7565,0.844,0.722,0.7715,0.737,0.758,0.686,0.765,0.8115,0.801,0.865,0.7535,0.7505,0.6815,0.7085,0.7655,0.749
2,0.7845,0.755,0.795,0.782,0.6815,0.7745,0.758,0.689,0.7685,0.7205,0.759,0.737,0.804,0.7085,0.725,0.704,0.7445,0.804,0.7505,0.7845,0.7205,0.868,0.731,0.783,0.6905,0.716,0.7985,0.6935,0.7595,0.782,0.752,0.7265,0.762,0.767,0.719,0.7295,0.859,0.725,0.7985,0.6875,0.7115,0.7625,0.7715,0.777,0.803,0.7175,0.7565,0.7625,0.728,0.767
3,0.928,1,0.928,1,0.936,0.928,1,0.848,0.808,1,1,0.928,0.92,0.936,0.928,0.928,0.928,0.936,1,0.868,0.78,0.764,0.844,0.928,0.928,0.916,0.864,1,0.936,0.84,0.832,0.928,0.86,0.94,0.904,1,0.84,0.936,0.932,0.932,1,1,0.912,0.856,0.912,0.84,0.936,0.856,0.932,0.928
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.8415,0.8845,0.8505,0.8415,0.8385,0.8385,0.8105,0.8725,0.8085,0.8475,0.88,0.8385,0.8845,0.8045,0.794,0.8385,0.8265,0.831,0.871,0.81,0.771,0.825,0.8015,0.8665,0.779,0.8175,0.852,0.837,0.84,0.834,0.807,0.8075,0.828,0.8785,0.843,0.8475,0.8665,0.852,0.785,0.819,0.8385,0.8445,0.8265,0.8355,0.843,0.7995,0.8695,0.7895,0.816,0.8475
6,0.84,0.936,0.932,0.848,0.936,0.92,1,0.756,0.92,1,0.924,0.928,1,0.92,0.904,0.932,0.92,0.928,0.856,0.92,0.676,0.764,0.764,0.84,0.912,0.76,1,0.936,0.928,0.848,0.84,0.928,0.784,0.936,0.92,0.92,0.848,0.92,0.828,0.932,1,0.928,0.836,0.784,0.784,0.76,0.912,0.848,0.928,0.856
7,0.7385,0.746,0.794,0.7355,0.734,0.707,0.782,0.734,0.789,0.6875,0.8235,0.731,0.7985,0.746,0.8055,0.6935,0.752,0.785,0.7625,0.8695,0.8205,0.725,0.7395,0.776,0.7025,0.752,0.762,0.7565,0.8025,0.767,0.737,0.7535,0.795,0.7965,0.7875,0.734,0.807,0.828,0.774,0.722,0.773,0.8045,0.8295,0.722,0.8175,0.773,0.774,0.831,0.798,0.707
8,0.848,0.752,0.772,0.748,0.864,0.668,0.736,0.76,0.584,0.844,0.664,0.828,0.92,0.748,0.732,0.832,0.664,1,0.932,0.84,0.684,0.64,0.676,0.672,0.776,0.676,0.656,0.784,0.592,0.844,0.928,0.764,0.764,0.824,0.696,0.912,0.768,0.868,0.6,0.84,0.912,0.776,0.692,0.688,0.932,0.832,0.616,0.832,0.748,0.768
9,0.7505,0.8185,0.783,0.7445,0.7785,0.752,0.7565,0.7505,0.707,0.752,0.7965,0.7965,0.8175,0.7605,0.746,0.8295,0.7355,0.7475,0.7815,0.737,0.7845,0.7775,0.7515,0.737,0.7845,0.8205,0.7875,0.749,0.752,0.771,0.7875,0.7935,0.7955,0.7355,0.7115,0.7385,0.728,0.758,0.761,0.737,0.743,0.74,0.74,0.7625,0.7565,0.8365,0.78,0.7505,0.7815,0.7085
10,0.7565,0.817,0.7815,0.7325,0.78,0.78,0.755,0.746,0.7055,0.752,0.78,0.795,0.8085,0.7635,0.7445,0.834,0.7325,0.7445,0.7815,0.734,0.8185,0.773,0.762,0.7385,0.7565,0.8485,0.786,0.758,0.752,0.737,0.789,0.795,0.794,0.7205,0.7115,0.7415,0.713,0.7535,0.7595,0.7205,0.74,0.734,0.743,0.7685,0.7625,0.8365,0.7755,0.746,0.7755,0.7055
11,0.66,0.748,0.68,0.668,0.66,0.672,0.672,0.672,0.656,0.68,0.696,0.672,0.772,0.688,0.728,0.76,0.736,0.68,0.68,0.68,0.756,0.688,0.652,0.6,0.684,0.7,0.696,0.756,0.648,0.672,0.736,0.688,0.736,0.728,0.584,0.684,0.612,0.72,0.68,0.748,0.668,0.608,0.68,0.712,0.612,0.756,0.72,0.612,0.748,0.672
12,0.7505,0.7625,0.752,0.819,0.692,0.804,0.725,0.689,0.774,0.7055,0.795,0.7145,0.862,0.7415,0.737,0.7355,0.7145,0.777,0.7295,0.8275,0.68,0.7935,0.758,0.7535,0.7055,0.7055,0.785,0.765,0.758,0.8175,0.8265,0.771,0.77,0.75,0.74,0.755,0.8045,0.782,0.725,0.7145,0.788,0.81,0.762,0.7295,0.755,0.746,0.7235,0.74,0.81,0.8175
13,0.7475,0.789,0.7685,0.7355,0.78,0.7325,0.7565,0.6725,0.84,0.798,0.825,0.804,0.834,0.813,0.774,0.804,0.786,0.7535,0.7625,0.801,0.7235,0.786,0.768,0.7445,0.7565,0.7325,0.7535,0.786,0.78,0.7385,0.81,0.798,0.7145,0.789,0.816,0.7445,0.7385,0.7205,0.792,0.8355,0.8325,0.804,0.816,0.756,0.81,0.7085,0.789,0.792,0.792,0.7445
