,sim1Sub001,sim1Sub002,sim1Sub003,sim1Sub004,sim1Sub005,sim1Sub006,sim1Sub007,sim1Sub008,sim1Sub009,sim1Sub010,sim1Sub011,sim1Sub012,sim1Sub013,sim1Sub014,sim1Sub015,sim1Sub016,sim1Sub017,sim1Sub018,sim1Sub019,sim1Sub020,sim1Sub021,sim1Sub022,sim1Sub023,sim1Sub024,sim1Sub025,sim1Sub026,sim1Sub027,sim1Sub028,sim1Sub029,sim1Sub030,sim1Sub031,sim1Sub032,sim1Sub033,sim1Sub034,sim1Sub035,sim1Sub036,sim1Sub037,sim1Sub038,sim1Sub039,sim1Sub040,sim1Sub041,sim1Sub042,sim1Sub043,sim1Sub044,sim1Sub045,sim1Sub046,sim1Sub047,sim1Sub048,sim1Sub049,sim1Sub050
1,0.725,0.7325,0.72,0.7625,0.65,0.72,0.7225,0.7475,0.78,0.6825,0.6725,0.715,0.7175,0.7025,0.6375,0.695,0.7625,0.725,0.795,0.705,0.69,0.735,0.66,0.7875,0.73,0.5825,0.8825,0.6425,0.6575,0.7975,0.6775,0.6675,0.7325,0.7275,0.82,0.67,0.7525,0.695,0.73,0.61,0.715,0.7925,0.775,0.855,0.7225,0.7175,0.6025,0.6475,0.7425,0.715
2,0.7475,0.725,0.765,0.77,0.6025,0.7575,0.73,0.615,0.7475,0.6675,0.705,0.695,0.78,0.6475,0.675,0.64,0.7075,0.78,0.7175,0.7475,0.6675,0.86,0.685,0.745,0.6175,0.66,0.7975,0.6225,0.7325,0.77,0.72,0.6775,0.71,0.745,0.665,0.6825,0.845,0.675,0.7975,0.6125,0.6525,0.7375,0.7525,0.735,0.805,0.6625,0.7275,0.7375,0.68,0.745
3,0.933333333333334,1,0.933333333333334,1,0.946666666666667,0.933333333333334,1,0.853333333333333,0.786666666666666,1,1,0.933333333333334,0.92,0.946666666666667,0.933333333333334,0.933333333333334,0.933333333333334,0.946666666666667,1,0.886666666666666,0.793333333333333,0.766666666666666,0.846666666666666,0.933333333333334,0.933333333333334,0.913333333333334,0.88,1,0.946666666666667,0.84,0.826666666666666,0.933333333333334,0.873333333333334,0.953333333333334,0.893333333333334,1,0.84,0.946666666666667,0.94,0.94,1,1,0.906666666666667,0.866666666666666,0.906666666666667,0.84,0.946666666666667,0.866666666666666,0.94,0.933333333333334
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.8425,0.8875,0.8575,0.8425,0.8375,0.8375,0.8175,0.8675,0.7875,0.8525,0.88,0.8375,0.8875,0.8075,0.79,0.8375,0.8175,0.825,0.865,0.79,0.725,0.815,0.8025,0.8575,0.765,0.8025,0.86,0.835,0.84,0.83,0.785,0.8125,0.82,0.8775,0.845,0.8525,0.8575,0.86,0.775,0.805,0.8375,0.8475,0.8175,0.8325,0.845,0.7725,0.8625,0.7825,0.8,0.8525
6,0.84,0.946666666666667,0.94,0.853333333333333,0.946666666666667,0.92,1,0.753333333333334,0.92,1,0.926666666666667,0.933333333333334,1,0.92,0.893333333333334,0.94,0.92,0.933333333333334,0.866666666666666,0.92,0.673333333333334,0.766666666666666,0.766666666666666,0.84,0.906666666666667,0.76,1,0.946666666666667,0.933333333333334,0.853333333333333,0.84,0.933333333333334,0.8,0.946666666666667,0.92,0.92,0.853333333333333,0.92,0.82,0.94,1,0.933333333333334,0.833333333333333,0.8,0.8,0.76,0.906666666666667,0.853333333333333,0.933333333333334,0.866666666666666
7,0.6975,0.71,0.79,0.6925,0.69,0.645,0.77,0.69,0.755,0.6125,0.8125,0.685,0.7975,0.71,0.7825,0.6225,0.72,0.775,0.7375,0.8625,0.8075,0.675,0.6725,0.76,0.6375,0.72,0.71,0.7275,0.7775,0.745,0.695,0.7225,0.765,0.7675,0.7525,0.69,0.785,0.82,0.73,0.67,0.755,0.8075,0.8225,0.67,0.8025,0.755,0.73,0.825,0.77,0.645
8,0.853333333333333,0.746666666666666,0.78,0.74,0.88,0.66,0.72,0.76,0.573333333333333,0.846666666666666,0.653333333333334,0.82,0.92,0.74,0.713333333333333,0.826666666666666,0.653333333333334,1,0.94,0.84,0.686666666666667,0.613333333333334,0.673333333333334,0.666666666666667,0.786666666666667,0.673333333333334,0.64,0.8,0.586666666666666,0.846666666666666,0.933333333333334,0.766666666666666,0.766666666666666,0.813333333333333,0.706666666666667,0.906666666666667,0.773333333333333,0.886666666666666,0.6,0.84,0.906666666666667,0.786666666666667,0.7,0.693333333333334,0.94,0.826666666666666,0.573333333333333,0.826666666666666,0.74,0.773333333333333
9,0.7175,0.7775,0.745,0.7075,0.7375,0.72,0.7275,0.7175,0.645,0.72,0.7675,0.7675,0.8025,0.7075,0.71,0.8225,0.6925,0.7125,0.7425,0.695,0.7475,0.7625,0.6925,0.695,0.7475,0.8075,0.7525,0.715,0.72,0.725,0.7525,0.7625,0.7925,0.6925,0.6525,0.6975,0.68,0.73,0.735,0.695,0.705,0.7,0.7,0.7375,0.7275,0.8075,0.74,0.7175,0.7425,0.6475
10,0.7275,0.775,0.7425,0.6875,0.74,0.74,0.725,0.71,0.6425,0.72,0.74,0.765,0.7875,0.7125,0.7075,0.83,0.6875,0.7075,0.7425,0.69,0.7775,0.755,0.71,0.6975,0.7275,0.8275,0.75,0.73,0.72,0.695,0.755,0.765,0.79,0.6675,0.6525,0.7025,0.655,0.7225,0.7325,0.6675,0.7,0.69,0.705,0.7475,0.7375,0.8075,0.7325,0.71,0.7325,0.6425
