,Method_name,Median_across_patients
1,Af,0.75425
2,AS,0.75725
3,BCohF,0.928
4,BCohW,0
5,BCorrD,0.8385
6,BCorrU,0.92
7,BH2D,0.77
8,BH2U,0.766
9,BMITD1,0.7565
10,BMITD2,0.75725
11,BMITU,0.68
12,BTED,0.755
13,BTEU,0.783
14,COH1,0.84
15,COH2,0.762
16,DC1,0.755
17,dDTF,0.783
18,DTF,0.7505
19,ffDTF,0.746
20,Genie,0.83625
21,GGC,0.73475
22,GPDC,0.75575
23,hmvar,0.746
24,MVAR,0.74675
25,oPDCF,0.758
26,pCOH1,0.768
27,pCOH2,0.768
28,PCohF,0.93
29,PCohW,0
30,PCorrD,0.8445
31,PCorrU,0.752
32,PDC,0.75575
33,PH2D,0.763
34,PH2U,0.746
35,PMITD1,0.761
36,PMITD2,0.7565
37,PMITU,0.7
38,PTED,0.76325
39,PTEU,0.7805
40,Smvar,0.764
41,Tigress,0.963
