,Method_name,Median_across_patients
1,Af,0.781197139938713
2,AS,0.7894708886619
3,BCohF,0.904475524475524
4,BCohW,0
5,BCorrD,0.87805924412666
6,BCorrU,0.868265734265734
7,BH2D,0.796672114402451
8,BH2U,0.759300699300699
9,BMITD1,0.791079673135853
10,BMITD2,0.792152196118488
11,BMITU,0.716629370629371
12,BTED,0.792228804902962
13,BTEU,0.803490296220633
14,COH1,0.773811188811189
15,COH2,0.769797202797203
16,DC1,0.798817160367722
17,dDTF,0.818251787538304
18,DTF,0.793914198161389
19,ffDTF,0.797208375893769
20,Genie,0.892844739530133
21,GGC,0.773
22,GPDC,0.788858018386108
23,hmvar,0.792611848825332
24,MVAR,0.786995403472932
25,oPDCF,0.785156792645557
26,pCOH1,0.76665034965035
27,pCOH2,0.76665034965035
28,PCohF,0.912167832167832
29,PCohW,0
30,PCorrD,0.881276813074566
31,PCorrU,0.714356643356643
32,PDC,0.784874361593463
33,PH2D,0.790825842696629
34,PH2U,0.723804195804196
35,PMITD1,0.795522982635342
36,PMITD2,0.791898365679265
37,PMITU,0.717853146853147
38,PTED,0.79549897854954
39,PTEU,0.794862104187947
40,Smvar,0.739370629370629
41,Tigress,0.957492339121553
