,Method_name,sim13Sub001,sim13Sub002,sim13Sub003,sim13Sub004,sim13Sub005,sim13Sub006,sim13Sub007,sim13Sub008,sim13Sub009,sim13Sub010,sim13Sub011,sim13Sub012,sim13Sub013,sim13Sub014,sim13Sub015,sim13Sub016,sim13Sub017,sim13Sub018,sim13Sub019,sim13Sub020,sim13Sub021,sim13Sub022,sim13Sub023,sim13Sub024,sim13Sub025,sim13Sub026,sim13Sub027,sim13Sub028,sim13Sub029,sim13Sub030,sim13Sub031,sim13Sub032,sim13Sub033,sim13Sub034,sim13Sub035,sim13Sub036,sim13Sub037,sim13Sub038,sim13Sub039,sim13Sub040,sim13Sub041,sim13Sub042,sim13Sub043,sim13Sub044,sim13Sub045,sim13Sub046,sim13Sub047,sim13Sub048,sim13Sub049,sim13Sub050
1,Af,0.68,0.72,0.68,0.72,0.72,0.76,0.68,0.72,0.8,0.8,0.72,0.76,0.68,0.76,0.72,0.68,0.76,0.76,0.72,0.76,0.68,0.68,0.76,0.72,0.76,0.68,0.76,0.68,0.72,0.76,0.8,0.68,0.72,0.8,0.76,0.72,0.76,0.76,0.76,0.76,0.8,0.76,0.76,0.76,0.8,0.68,0.68,0.76,0.76,0.76
2,AS,0.68,0.76,0.72,0.72,0.72,0.68,0.68,0.72,0.84,0.8,0.72,0.76,0.72,0.8,0.72,0.72,0.76,0.76,0.76,0.8,0.76,0.76,0.76,0.68,0.76,0.72,0.76,0.68,0.72,0.76,0.72,0.68,0.72,0.84,0.76,0.8,0.8,0.72,0.76,0.76,0.76,0.68,0.76,0.72,0.76,0.68,0.72,0.76,0.72,0.76
3,BCohF,0.84,0.84,0.84,0.92,0.76,0.68,1,0.92,0.92,1,0.76,0.92,0.84,0.84,0.92,0.92,0.92,0.84,1,0.84,0.68,0.76,0.76,0.92,0.76,0.68,0.92,0.84,1,0.68,0.76,0.84,0.84,0.84,0.84,0.76,0.84,0.84,0.92,1,0.92,0.92,0.84,0.92,0.92,0.76,0.84,1,1,1
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.68,0.76,0.72,0.84,0.8,0.76,0.76,0.76,0.8,0.8,0.72,0.84,0.76,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.76,0.76,0.88,0.72,0.8,0.76,0.76,0.68,0.84,0.68,0.72,0.76,0.84,0.8,0.72,0.72,0.8,0.8,0.76,0.8,0.76,0.84,0.8,0.76,0.84,0.68,0.72,0.76,0.84,0.84
6,BCorrU,0.68,0.92,0.76,0.84,0.84,0.76,0.84,0.84,0.84,0.92,0.76,0.92,0.92,1,0.92,0.84,1,0.76,0.92,0.84,0.76,0.68,0.92,0.76,0.84,0.68,0.92,0.6,1,0.76,0.76,0.76,0.92,0.92,0.68,0.84,0.76,0.68,0.76,0.92,0.84,0.84,0.84,0.84,0.84,0.76,0.76,0.76,0.92,0.92
7,BH2D,0.68,0.72,0.68,0.72,0.72,0.72,0.68,0.72,0.76,0.76,0.72,0.76,0.72,0.76,0.8,0.76,0.72,0.76,0.76,0.8,0.72,0.68,0.8,0.76,0.76,0.72,0.76,0.68,0.8,0.72,0.76,0.72,0.8,0.76,0.72,0.72,0.76,0.68,0.76,0.72,0.72,0.72,0.76,0.76,0.76,0.8,0.72,0.76,0.76,0.8
8,BH2U,0.76,0.92,0.68,0.68,0.6,0.76,0.68,0.68,0.76,0.76,0.6,0.76,0.76,0.76,0.84,0.68,0.84,0.76,0.68,0.76,0.76,0.68,1,0.68,0.68,0.68,0.76,0.76,1,0.76,0.84,0.68,0.76,0.76,0.68,0.76,0.76,0.76,0.76,0.84,0.68,0.68,0.68,0.84,0.68,0.76,0.68,1,1,0.76
9,BMITD1,0.68,0.72,0.72,0.76,0.76,0.76,0.68,0.72,0.76,0.8,0.76,0.8,0.68,0.76,0.72,0.72,0.72,0.76,0.72,0.8,0.68,0.8,0.8,0.72,0.84,0.76,0.72,0.72,0.76,0.72,0.72,0.76,0.76,0.76,0.72,0.72,0.76,0.72,0.76,0.76,0.72,0.68,0.8,0.72,0.76,0.72,0.76,0.76,0.68,0.8
10,BMITD2,0.68,0.72,0.72,0.76,0.76,0.8,0.68,0.76,0.76,0.8,0.76,0.8,0.72,0.76,0.72,0.72,0.72,0.76,0.72,0.8,0.68,0.76,0.84,0.72,0.8,0.72,0.76,0.72,0.76,0.72,0.72,0.76,0.72,0.76,0.72,0.72,0.76,0.76,0.76,0.8,0.72,0.68,0.8,0.72,0.76,0.72,0.72,0.76,0.68,0.8
11,BMITU,0.68,0.6,0.76,0.68,0.68,0.84,0.76,0.76,0.76,0.76,0.68,0.68,0.68,0.68,0.68,0.76,0.76,0.76,0.68,0.68,0.76,0.76,0.76,0.68,0.84,0.76,0.76,0.76,0.76,0.76,0.76,0.68,0.76,0.76,0.68,0.6,0.68,0.84,0.76,0.84,0.68,0.6,0.68,0.68,0.76,0.68,0.76,0.68,0.76,0.68
12,BTED,0.72,0.76,0.84,0.72,0.72,0.76,0.68,0.76,0.76,0.76,0.72,0.76,0.76,0.76,0.76,0.76,0.72,0.76,0.76,0.76,0.72,0.72,0.76,0.88,0.76,0.68,0.72,0.68,0.84,0.68,0.72,0.72,0.72,0.84,0.72,0.72,0.76,0.72,0.76,0.8,0.8,0.72,0.8,0.8,0.76,0.68,0.72,0.76,0.72,0.76
13,BTEU,0.76,0.88,0.72,0.8,0.76,0.84,0.76,0.76,0.8,0.8,0.72,0.8,0.84,0.8,0.76,0.76,0.76,0.76,0.72,0.76,0.84,0.76,0.76,0.92,0.76,0.68,0.76,0.68,0.8,0.68,0.76,0.72,0.8,0.8,0.8,0.72,0.84,0.72,0.76,0.8,0.84,0.76,0.76,0.76,0.8,0.68,0.76,0.76,0.76,0.84
14,COH1,0.68,0.92,0.68,0.68,0.76,0.92,0.84,0.84,0.76,0.76,0.76,0.92,0.76,0.84,0.84,0.84,0.76,0.84,0.84,0.76,0.68,0.68,0.76,0.76,0.76,0.6,0.84,0.6,0.92,0.68,0.76,0.68,0.84,1,0.84,0.84,0.76,0.76,0.68,0.76,0.92,0.76,0.68,0.84,0.76,0.76,0.84,0.84,0.84,0.76
15,COH2,0.68,0.84,0.68,0.6,0.76,0.84,0.84,0.76,0.84,0.68,0.68,0.84,0.76,0.76,0.68,0.84,0.76,0.84,0.76,0.68,0.6,0.6,0.76,0.68,0.68,0.6,0.76,0.6,0.84,0.68,0.76,0.68,0.76,0.92,0.92,0.68,0.68,0.84,0.6,0.68,0.92,0.84,0.76,0.76,0.76,0.76,0.76,0.76,0.92,0.68
16,DC1,0.68,0.88,0.72,0.72,0.8,0.72,0.68,0.72,0.8,0.72,0.72,0.76,0.68,0.76,0.72,0.76,0.72,0.76,0.72,0.76,0.72,0.76,0.76,0.68,0.76,0.68,0.72,0.68,0.76,0.68,0.72,0.72,0.76,0.84,0.8,0.72,0.76,0.8,0.76,0.76,0.76,0.72,0.76,0.72,0.76,0.76,0.8,0.76,0.72,0.76
17,dDTF,0.68,0.8,0.68,0.76,0.76,0.72,0.68,0.76,0.8,0.84,0.72,0.76,0.72,0.76,0.72,0.84,0.76,0.76,0.72,0.76,0.72,0.72,0.8,0.68,0.76,0.68,0.76,0.68,0.72,0.68,0.76,0.8,0.8,0.8,0.84,0.72,0.8,0.72,0.8,0.72,0.72,0.72,0.76,0.72,0.8,0.72,0.76,0.8,0.72,0.76
18,DTF,0.68,0.76,0.68,0.72,0.76,0.72,0.68,0.76,0.8,0.72,0.72,0.76,0.72,0.76,0.72,0.76,0.76,0.76,0.72,0.76,0.72,0.76,0.76,0.68,0.76,0.72,0.76,0.72,0.76,0.72,0.76,0.68,0.76,0.88,0.84,0.72,0.76,0.8,0.76,0.76,0.72,0.72,0.76,0.72,0.8,0.72,0.76,0.8,0.76,0.76
19,ffDTF,0.68,0.76,0.68,0.72,0.8,0.76,0.68,0.76,0.8,0.72,0.72,0.76,0.72,0.76,0.72,0.76,0.76,0.76,0.72,0.76,0.72,0.76,0.76,0.68,0.76,0.72,0.72,0.72,0.72,0.72,0.76,0.68,0.76,0.84,0.8,0.72,0.76,0.8,0.76,0.76,0.72,0.72,0.76,0.72,0.8,0.72,0.76,0.8,0.72,0.76
