,Method_name,Median_across_patients
1,Af,0.71531746031746
2,AS,0.713333333333334
3,BCohF,0.924285714285714
4,BCohW,0
5,BCorrD,0.758968253968254
6,BCorrU,0.908051948051948
7,BH2D,0.671587301587302
8,BH2U,0.816103896103896
9,BMITD1,0.695317460317461
10,BMITD2,0.696388888888889
11,BMITU,0.785844155844156
12,BTED,0.684404761904762
13,BTEU,0.70936507936508
14,COH1,0.861558441558441
15,COH2,0.809610389610389
16,DC1,0.709206349206349
17,dDTF,0.719285714285714
18,DTF,0.701269841269841
19,ffDTF,0.703333333333333
20,Genie,0.727142857142857
21,GGC,0.658690476190476
22,GPDC,0.695476190476191
23,hmvar,0.698293650793651
24,MVAR,0.70936507936508
25,oPDCF,0.693412698412698
26,pCOH1,0.785844155844156
27,pCOH2,0.785844155844156
28,PCohF,0.934025974025974
29,PCohW,0
30,PCorrD,0.76202380952381
31,PCorrU,0.763116883116883
32,PDC,0.703253968253968
33,PH2D,0.681587301587302
34,PH2U,0.786363636363636
35,PMITD1,0.707301587301587
36,PMITD2,0.711349206349207
37,PMITU,0.789090909090909
38,PTED,0.677460317460318
39,PTEU,0.700357142857143
40,Smvar,0.825844155844156
41,Tigress,0.832698412698412
