,Method_name,Median_across_patients
1,Af,0.76
2,AS,0.76
3,BCohF,0.92
4,BCohW,0
5,BCorrD,0.76
6,BCorrU,0.92
7,BH2D,0.72
8,BH2U,0.84
9,BMITD1,0.72
10,BMITD2,0.72
11,BMITU,0.76
12,BTED,0.72
13,BTEU,0.76
14,COH1,0.84
15,COH2,0.84
16,DC1,0.74
17,dDTF,0.76
18,DTF,0.76
19,ffDTF,0.72
20,Genie,0.76
21,GGC,0.72
22,GPDC,0.76
23,hmvar,0.76
24,MVAR,0.76
25,oPDCF,0.72
26,pCOH1,0.8
27,pCOH2,0.8
28,PCohF,0.92
29,PCohW,0
30,PCorrD,0.76
31,PCorrU,0.76
32,PDC,0.72
33,PH2D,0.72
34,PH2U,0.84
35,PMITD1,0.76
36,PMITD2,0.76
37,PMITU,0.76
38,PTED,0.74
39,PTEU,0.76
40,Smvar,0.84
41,Tigress,0.84
