,Method_name,Sum_of_avg_across_patients
1,Af,30.72
2,AS,31.17
3,BCohF,46.6266666666667
4,BCohW,0
5,BCorrD,39.08
6,BCorrU,43.9333333333333
7,BH2D,35.69
8,BH2U,42.5733333333333
9,BMITD1,36.55
10,BMITD2,36.34
11,BMITU,42.0933333333333
12,BTED,31.34
13,BTEU,36.785
14,COH1,44.3733333333333
15,COH2,44.0666666666667
16,DC1,32.52
17,dDTF,40.16
18,DTF,30.44
19,ffDTF,31.125
20,Genie,39.945
21,GGC,21.24
22,GPDC,33.265
23,hmvar,29.82
24,MVAR,31.025
25,oPDCF,32.445
26,pCOH1,47.4266666666667
27,pCOH2,47.4266666666667
28,PCohF,47.3333333333333
29,PCohW,0
30,PCorrD,34.76
31,PCorrU,33.6533333333333
32,PDC,32.53
33,PH2D,32.73
34,PH2U,30.6866666666667
35,PMITD1,39.67
36,PMITD2,39.63
37,PMITU,46.8666666666667
38,PTED,33.315
39,PTEU,34.495
40,Smvar,35.8733333333333
41,Tigress,48.795
