,Method_name,Median_across_patients
1,Af,0.5775
2,AS,0.555
3,BCohF,0.786666666666667
4,BCohW,0
5,BCorrD,0.7075
6,BCorrU,0.773333333333333
7,BH2D,0.665
8,BH2U,0.726666666666666
9,BMITD1,0.705
10,BMITD2,0.71
11,BMITU,0.766666666666666
12,BTED,0.625
13,BTEU,0.6425
14,COH1,0.84
15,COH2,0.826666666666667
16,DC1,0.64
17,dDTF,0.74
18,DTF,0.5825
19,ffDTF,0.585
20,Genie,0.7025
21,GGC,0.5125
22,GPDC,0.6
23,hmvar,0.55
24,MVAR,0.5525
25,oPDCF,0.5775
26,pCOH1,0.906666666666667
27,pCOH2,0.906666666666667
28,PCohF,0.866666666666667
29,PCohW,0
30,PCorrD,0.7125
31,PCorrU,0.786666666666667
32,PDC,0.5775
33,PH2D,0.645
34,PH2U,0.7
35,PMITD1,0.7425
36,PMITD2,0.75
37,PMITU,0.813333333333333
38,PTED,0.61
39,PTEU,0.63
40,Smvar,0.653333333333333
41,Tigress,0.84
