,Method_name,Median_across_patients
1,Af,0.7225
2,AS,0.74375
3,BCohF,0.86
4,BCohW,0
5,BCorrD,0.8025
6,BCorrU,0.84
7,BH2D,0.7525
8,BH2U,0.746666666666666
9,BMITD1,0.7275
10,BMITD2,0.71875
11,BMITU,0.686666666666667
12,BTED,0.73
13,BTEU,0.73
14,COH1,0.783333333333333
15,COH2,0.753333333333334
16,DC1,0.735
17,dDTF,0.76
18,DTF,0.73125
19,ffDTF,0.72875
20,Genie,0.80375
21,GGC,0.71
22,GPDC,0.72625
23,hmvar,0.72
24,MVAR,0.7425
25,oPDCF,0.73125
26,pCOH1,0.776666666666667
27,pCOH2,0.776666666666667
28,PCohF,0.876666666666667
29,PCohW,0
30,PCorrD,0.81375
31,PCorrU,0.723333333333333
32,PDC,0.7225
33,PH2D,0.7275
34,PH2U,0.71
35,PMITD1,0.71875
36,PMITD2,0.7175
37,PMITU,0.67
38,PTED,0.73375
39,PTEU,0.73375
40,Smvar,0.76
41,Tigress,0.92625
