,Method_name,Sum_of_avg_across_patients
1,Af,40.68
2,AS,40.88
3,BCohF,42.4
4,BCohW,0
5,BCorrD,42
6,BCorrU,41.92
7,BH2D,40.68
8,BH2U,38.24
9,BMITD1,40.44
10,BMITD2,40.4
11,BMITU,35.2
12,BTED,41.04
13,BTEU,41.04
14,COH1,39.76
15,COH2,38
16,DC1,40.84
17,dDTF,41.36
18,DTF,40.84
19,ffDTF,40.8
20,Genie,41.56
21,GGC,40.56
22,GPDC,40.64
23,hmvar,40.64
24,MVAR,40.88
25,oPDCF,40.6
26,pCOH1,39.44
27,pCOH2,39.44
28,PCohF,43.04
29,PCohW,0
30,PCorrD,41.96
31,PCorrU,37.12
32,PDC,40.68
33,PH2D,40.6
34,PH2U,37.6
35,PMITD1,40.92
36,PMITD2,40.72
37,PMITU,35.44
38,PTED,41.08
39,PTEU,40.96
40,Smvar,38.32
41,Tigress,45.84
