,Method_name,Sum_of_avg_across_patients
1,Af,35.69
2,AS,35.47
3,BCohF,45.5066666666667
4,BCohW,0
5,BCorrD,41.1375
6,BCorrU,44.2933333333333
7,BH2D,35.995
8,BH2U,38.6
9,BMITD1,36.6475
10,BMITD2,36.5625
11,BMITU,35
12,BTED,35.99
13,BTEU,36.315
14,COH1,40.72
15,COH2,37.6666666666667
16,DC1,35.09
17,dDTF,37.365
18,DTF,34.9825
19,ffDTF,34.9875
20,Genie,40.56
21,GGC,34.41
22,GPDC,35.6975
23,hmvar,35.0125
24,MVAR,35.57
25,oPDCF,35.495
26,pCOH1,40.2766666666667
27,pCOH2,40.28
28,PCohF,46.56
29,PCohW,0
30,PCorrD,41.625
31,PCorrU,36.0933333333333
32,PDC,35.5475
33,PH2D,35.535
34,PH2U,37.06
35,PMITD1,36.93
36,PMITD2,36.735
37,PMITU,35.96
38,PTED,35.83
39,PTEU,36.255
40,Smvar,39.18
41,Tigress,47.4475
