,Method_name,Median_across_patients
1,Af,0.9756
2,AS,0.9756
3,BCohF,0.9692
4,BCohW,0
5,BCorrD,0.976
6,BCorrU,0.9624
7,BH2D,0.9756
8,BH2U,0.9512
9,BMITD1,0.9756
10,BMITD2,0.9756
11,BMITU,0.9512
12,BTED,0.9756
13,BTEU,0.9756
14,COH1,0.9512
15,COH2,0.9512
16,DC1,0.9756
17,dDTF,0.9756
18,DTF,0.9756
19,ffDTF,0.9756
20,Genie,0.9764
21,GGC,0.9756
22,GPDC,0.9756
23,hmvar,0.9756
24,MVAR,0.9756
25,oPDCF,0.9756
26,pCOH1,0
27,pCOH2,0.9512
28,PCohF,0.9672
29,PCohW,0
30,PCorrD,0.976
31,PCorrU,0.9512
32,PDC,0.9756
33,PH2D,0.9756
34,PH2U,0.9512
35,PMITD1,0.9756
36,PMITD2,0.9756
37,PMITU,0.9512
38,PTED,0.9756
39,PTEU,0.9756
40,Smvar,0.9512
41,Tigress,0.986
