,sim1Sub001,sim1Sub002,sim1Sub003,sim1Sub004,sim1Sub005,sim1Sub006,sim1Sub007,sim1Sub008,sim1Sub009,sim1Sub010,sim1Sub011,sim1Sub012,sim1Sub013,sim1Sub014,sim1Sub015,sim1Sub016,sim1Sub017,sim1Sub018,sim1Sub019,sim1Sub020,sim1Sub021,sim1Sub022,sim1Sub023,sim1Sub024,sim1Sub025,sim1Sub026,sim1Sub027,sim1Sub028,sim1Sub029,sim1Sub030,sim1Sub031,sim1Sub032,sim1Sub033,sim1Sub034,sim1Sub035,sim1Sub036,sim1Sub037,sim1Sub038,sim1Sub039,sim1Sub040,sim1Sub041,sim1Sub042,sim1Sub043,sim1Sub044,sim1Sub045,sim1Sub046,sim1Sub047,sim1Sub048,sim1Sub049,sim1Sub050
1,0.933333333333334,1,0.933333333333334,1,0.946666666666667,0.933333333333334,1,0.853333333333333,0.786666666666666,1,1,0.933333333333334,0.92,0.946666666666667,0.933333333333334,0.933333333333334,0.933333333333334,0.946666666666667,1,0.886666666666666,0.793333333333333,0.766666666666666,0.846666666666666,0.933333333333334,0.933333333333334,0.913333333333334,0.88,1,0.946666666666667,0.84,0.826666666666666,0.933333333333334,0.873333333333334,0.953333333333334,0.893333333333334,1,0.84,0.946666666666667,0.94,0.94,1,1,0.906666666666667,0.866666666666666,0.906666666666667,0.84,0.946666666666667,0.866666666666666,0.94,0.933333333333334
2,0.84,0.946666666666667,0.94,0.853333333333333,0.946666666666667,0.92,1,0.753333333333334,0.92,1,0.926666666666667,0.933333333333334,1,0.92,0.893333333333334,0.94,0.92,0.933333333333334,0.866666666666666,0.92,0.673333333333334,0.766666666666666,0.766666666666666,0.84,0.906666666666667,0.76,1,0.946666666666667,0.933333333333334,0.853333333333333,0.84,0.933333333333334,0.8,0.946666666666667,0.92,0.92,0.853333333333333,0.92,0.82,0.94,1,0.933333333333334,0.833333333333333,0.8,0.8,0.76,0.906666666666667,0.853333333333333,0.933333333333334,0.866666666666666
3,0.82,0.86,0.8425,0.84,0.85,0.83,0.86,0.79,0.82,0.86,0.86,0.83,0.855,0.85,0.81,0.85,0.83,0.855,0.845,0.835,0.765,0.8,0.79,0.835,0.83,0.78,0.86,0.86,0.84,0.8,0.79,0.845,0.815,0.85,0.82,0.85,0.82,0.8525,0.825,0.85,0.86,0.86,0.815,0.8,0.82,0.78,0.845,0.82,0.85,0.85
4,0.825,0.795,0.82,0.795,0.82,0.85,0.805,0.82,0.72,0.735,0.78,0.795,0.7925,0.8,0.82,0.84,0.86,0.8,0.77,0.8,0.76,0.79,0.8,0.79,0.85,0.7225,0.85,0.825,0.745,0.75,0.73,0.79,0.76,0.825,0.77,0.82,0.83,0.805,0.83,0.82,0.785,0.77,0.7275,0.7175,0.785,0.785,0.81,0.79,0.82,0.84
5,0.825,0.86,0.84,0.85,0.85,0.84,0.86,0.8,0.81,0.86,0.8375,0.835,0.85,0.85,0.84,0.85,0.83,0.85,0.8525,0.84,0.775,0.795,0.795,0.84,0.85,0.79,0.86,0.86,0.84,0.8,0.8,0.845,0.83,0.86,0.81,0.86,0.825,0.85,0.84,0.845,0.8375,0.86,0.82,0.8075,0.82,0.79,0.85,0.81,0.86,0.84
6,0.83,0.83,0.83,0.805,0.81,0.86,0.73,0.795,0.73,0.735,0.8,0.8,0.775,0.81,0.82,0.78,0.805,0.78,0.79,0.81,0.77,0.74,0.76,0.775,0.84,0.79,0.86,0.86,0.755,0.8,0.74,0.795,0.79,0.8175,0.785,0.86,0.82,0.8,0.825,0.81,0.78,0.8,0.7525,0.7,0.78,0.785,0.81,0.785,0.815,0.79
7,0.84,0.86,0.84,0.86,0.85,0.84,0.86,0.81,0.76,0.86,0.86,0.84,0.84,0.86,0.85,0.84,0.84,0.85,0.86,0.84,0.81,0.79,0.795,0.84,0.84,0.83,0.84,0.86,0.84,0.8,0.805,0.84,0.84,0.86,0.81,0.86,0.825,0.85,0.8275,0.84,0.8375,0.86,0.82,0.82,0.82,0.8,0.855,0.8,0.85,0.84
8,0.84,0.815,0.83,0.8,0.81,0.86,0.73,0.805,0.72,0.735,0.82,0.8,0.77,0.8,0.84,0.785,0.8075,0.79,0.8,0.82,0.78,0.755,0.76,0.77,0.84,0.775,0.86,0.86,0.75,0.7675,0.74,0.7825,0.8,0.8175,0.79,0.86,0.825,0.8,0.85,0.8,0.7675,0.795,0.7425,0.7,0.77,0.77,0.8125,0.785,0.815,0.79
9,1,1,0.88,1,0.946666666666667,0.933333333333334,1,0.86,0.786666666666666,1,1,0.946666666666667,0.94,1,1,0.933333333333334,0.92,0.946666666666667,1,0.946666666666667,0.853333333333333,0.84,0.84,0.933333333333334,0.94,0.913333333333334,0.933333333333334,1,0.92,0.86,0.866666666666666,0.94,1,1,0.893333333333334,1,0.88,0.946666666666667,0.94,0.933333333333334,1,1,0.906666666666667,0.866666666666666,0.906666666666667,0.826666666666666,0.946666666666667,0.84,0.933333333333334,0.933333333333334
10,0.83,0.86,0.8525,0.835,0.85,0.83,0.86,0.795,0.82,0.86,0.86,0.84,0.86,0.85,0.835,0.855,0.83,0.86,0.84,0.84,0.78,0.79,0.79,0.84,0.85,0.785,0.86,0.86,0.84,0.8,0.8,0.85,0.825,0.86,0.815,0.85,0.825,0.85,0.8075,0.845,0.8375,0.86,0.815,0.8025,0.81,0.78,0.845,0.81,0.85,0.85
11,0.84,0.795,0.81,0.79,0.825,0.85,0.795,0.81,0.725,0.73,0.79,0.79,0.79,0.8,0.85,0.84,0.8375,0.81,0.78,0.81,0.755,0.77,0.8,0.79,0.85,0.7075,0.855,0.825,0.74,0.7175,0.73,0.79,0.815,0.82,0.79,0.8,0.83,0.8,0.8275,0.82,0.7725,0.76,0.7325,0.6975,0.785,0.785,0.81,0.78,0.81,0.835
12,1,0.97,1,0.9775,1,0.965,0.965,0.945,0.965,0.975,0.965,0.965,0.92,0.975,0.97,0.97,0.975,0.97,0.96,0.94,0.905,0.88,0.96,0.965,0.965,0.96,0.975,0.975,1,0.8975,0.9475,0.965,0.97,0.965,0.975,0.97,0.96,1,0.97,1,0.945,0.97,0.975,0.945,0.945,0.925,1,0.955,0.94,0.965
13,0.9775,0.94,1,0.97,0.975,0.9725,0.955,0.9725,0.965,0.9375,0.96,0.965,0.91,0.965,0.97,0.97,0.965,0.9675,0.96,0.96,0.895,0.885,0.965,0.9375,0.965,0.97,0.975,0.975,1,0.86,0.935,0.965,0.97,0.9175,0.975,0.975,0.9625,1,0.97,1,0.9275,0.96,0.97,0.97,0.97,0.88,1,0.92,0.935,0.975
14,1,0.975,1,0.975,1,0.965,0.965,0.9425,0.935,0.975,0.97,0.965,0.925,0.975,0.96,0.97,0.975,0.975,0.965,0.945,0.91,0.88,0.935,0.965,0.965,0.9575,0.975,0.975,1,0.89,0.965,0.965,0.9675,0.935,0.975,0.975,0.955,1,0.975,1,0.97,0.975,0.975,0.9475,0.9425,0.895,1,0.945,0.935,0.965
15,1,0.895,0.975,0.8925,0.975,1,0.975,0.9425,0.9075,0.9125,0.97,0.93,0.8475,0.97,0.93,0.9675,0.965,0.965,0.91,0.93,0.8875,0.8825,0.96,0.945,0.975,0.96,1,0.9325,0.965,0.8375,0.88,0.9025,0.87,0.965,0.93,0.9125,0.9275,0.97,0.965,0.945,0.91,0.935,0.93,0.905,0.9725,0.9175,1,0.89,0.9325,0.975
16,1,0.9775,1,0.975,1,0.97,0.975,0.9375,0.93,0.975,0.975,0.965,0.935,0.97,0.96,0.97,0.975,1,0.97,0.94,0.9025,0.875,0.9275,0.965,0.965,0.96,0.975,0.9775,1,0.8525,0.96,0.945,0.965,0.905,0.97,0.975,0.96,1,0.975,1,0.965,0.975,0.97,0.9725,0.9375,0.8825,1,0.9375,0.91,0.9725
17,0.9075,0.88,0.97,0.845,0.97,1,0.9475,0.8975,0.8125,0.87,0.93,0.8925,0.875,0.92,0.92,0.9075,0.96,0.9175,0.905,0.895,0.87,0.855,0.96,0.91,0.965,0.9125,0.97,0.9,0.96,0.8425,0.8275,0.9125,0.8425,0.905,0.8875,0.9,0.8975,0.93,0.975,0.945,0.86,0.89,0.845,0.8175,0.93,0.88,0.94,0.8425,0.8925,0.96
18,1,0.975,0.975,1,1,0.965,0.965,0.94,0.935,0.975,0.965,0.965,0.92,0.975,0.96,0.97,0.975,0.975,0.97,0.97,0.91,0.8775,0.935,0.965,0.965,0.97,0.9675,0.975,1,0.865,0.965,0.965,0.97,0.93,0.9725,0.975,0.9575,1,0.975,1,0.9475,0.97,0.97,0.97,0.94,0.9125,1,0.9475,0.935,0.9675
