,Method_name,sim14Sub001,sim14Sub002,sim14Sub003,sim14Sub004,sim14Sub005,sim14Sub006,sim14Sub007,sim14Sub008,sim14Sub009,sim14Sub010,sim14Sub011,sim14Sub012,sim14Sub013,sim14Sub014,sim14Sub015,sim14Sub016,sim14Sub017,sim14Sub018,sim14Sub019,sim14Sub020,sim14Sub021,sim14Sub022,sim14Sub023,sim14Sub024,sim14Sub025,sim14Sub026,sim14Sub027,sim14Sub028,sim14Sub029,sim14Sub030,sim14Sub031,sim14Sub032,sim14Sub033,sim14Sub034,sim14Sub035,sim14Sub036,sim14Sub037,sim14Sub038,sim14Sub039,sim14Sub040,sim14Sub041,sim14Sub042,sim14Sub043,sim14Sub044,sim14Sub045,sim14Sub046,sim14Sub047,sim14Sub048,sim14Sub049,sim14Sub050
1,BCohF,1,1,0.84,0.92,0.92,1,0.92,0.84,0.92,0.92,1,1,0.84,0.92,0.92,1,0.84,1,0.92,0.84,0.84,0.84,0.92,0.92,0.92,1,0.92,1,1,0.84,0.92,0.92,0.92,0.84,0.92,1,0.92,0.92,0.92,0.92,0.92,0.92,1,0.92,0.84,0.84,1,0.92,0.92,0.92
2,BCorrU,1,1,0.84,0.76,0.84,1,0.92,0.76,0.76,0.92,1,1,0.84,0.92,1,0.92,0.84,0.84,0.84,0.92,0.84,0.92,0.84,1,0.84,1,0.84,0.92,0.92,0.76,0.92,1,0.76,0.84,0.92,0.92,0.84,0.84,1,1,0.92,0.84,1,0.84,0.76,0.84,0.84,0.92,0.92,0.92
3,BF_BCmean,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
4,BF_BCmedian,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
5,BF_PF_BCmean,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
6,BF_PF_BCmedian,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84
7,BF_PFmean,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
8,BF_PFmedian,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.8,0.8,0.84,0.84,0.84
9,PCohF,1,1,0.92,0.92,0.92,0.92,0.92,0.92,1,0.92,1,1,0.84,0.92,0.92,1,0.92,1,0.92,0.84,0.84,0.84,1,0.92,0.92,1,0.92,1,1,0.84,0.92,0.92,0.92,0.92,1,1,0.92,0.92,0.92,0.92,1,0.92,1,0.92,0.84,0.92,1,0.92,1,1
10,PF_BCmean,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
11,PF_BCmedian,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.84,0.84,0.84,0.84
12,T_BCmean,0.88,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.84,0.96,0.8,0.88,0.88,0.84,0.88,0.96,0.92,0.88,0.88,0.88,0.88,0.92,0.84,0.92,0.92,0.96,0.92,0.88,0.92,0.88,0.88,0.96,0.88,0.84,0.88,0.92,0.92,0.88,0.96
13,T_BCmedian,0.88,0.88,0.92,0.92,0.84,0.92,0.88,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.84,0.96,0.8,0.88,0.88,0.88,0.88,0.92,0.92,0.88,0.92,0.88,0.84,0.92,0.84,0.92,0.92,0.96,0.92,0.88,0.92,0.88,0.88,0.96,0.88,0.84,0.88,0.92,0.92,0.92,0.96
14,T_BF_BCmean,0.92,0.88,0.88,0.88,0.84,0.92,0.88,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.84,0.92,0.8,0.88,0.88,0.84,0.88,0.96,0.92,0.92,0.92,0.88,0.84,0.92,0.84,0.92,0.92,0.96,0.88,0.88,0.92,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.96,0.88,0.92
15,T_BF_BCmedian,0.96,0.88,0.92,0.92,0.84,0.92,0.88,0.84,0.84,0.92,0.92,0.96,0.84,0.88,0.92,0.92,0.88,0.92,0.96,0.92,0.96,0.84,0.92,0.96,0.84,0.96,0.88,0.88,0.88,0.88,0.84,0.84,0.92,0.84,0.92,0.92,0.92,0.96,0.92,0.96,0.88,0.88,0.88,0.88,0.92,0.88,0.92,0.88,0.96,0.84
16,T_BF_PF_BCmean,0.92,0.92,0.88,0.88,0.84,0.92,0.92,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.84,0.92,0.8,0.88,0.88,0.88,0.88,0.88,0.92,0.92,0.92,0.88,0.88,0.92,0.84,0.92,0.92,0.96,0.88,0.92,0.92,0.88,0.88,0.92,0.92,0.84,0.88,0.92,0.96,0.88,0.92
17,T_BF_PF_BCmedian,0.92,0.92,0.92,0.92,0.84,0.88,0.88,0.84,0.84,0.88,0.92,0.92,0.84,0.88,0.92,0.88,0.88,0.92,0.92,0.92,0.92,0.84,0.88,0.92,0.84,0.96,0.84,0.88,0.88,0.88,0.84,0.84,0.92,0.84,0.88,0.88,0.84,0.96,0.92,0.96,0.88,0.84,0.92,0.84,0.88,0.88,0.88,0.84,0.92,0.84
18,T_BF_PFmean,0.88,0.88,0.88,0.88,0.84,0.92,0.92,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.8,0.92,0.84,0.88,0.88,0.84,0.88,0.92,0.92,0.92,0.92,0.88,0.88,0.92,0.84,0.88,0.92,0.96,0.92,0.92,0.92,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.96,0.88,0.92
19,T_BF_PFmedian,0.84,0.92,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.88,0.8,0.84,0.88,0.8,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.88,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.8,0.84,0.8,0.84,0.84,0.84,0.84
20,T_BFmean,0.88,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.88,0.84,0.96,0.84,0.88,0.88,0.84,0.88,0.92,0.92,0.88,0.88,0.88,0.84,0.92,0.84,0.88,0.92,0.96,0.92,0.88,0.92,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.96,0.88,0.92
21,T_BFmedian,0.88,0.88,0.92,0.88,0.84,0.92,0.92,0.92,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.92,0.96,0.96,0.88,0.84,0.92,0.84,0.88,0.92,0.88,0.88,0.92,0.92,0.88,0.92,0.88,0.88,0.92,0.8,0.88,0.92,0.92,0.92,0.88,0.88,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.92,0.92,0.92
22,T_PF_BCmean,0.92,0.88,0.88,0.88,0.84,0.92,0.88,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.92,0.84,0.92,0.8,0.88,0.88,0.84,0.88,0.96,0.92,0.92,0.92,0.88,0.84,0.92,0.84,0.92,0.92,0.96,0.88,0.88,0.92,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.96,0.88,0.92
23,T_PF_BCmedian,0.96,0.88,0.92,0.92,0.84,0.92,0.88,0.88,0.84,0.92,0.92,0.96,0.84,0.92,0.92,0.92,0.88,0.92,0.96,0.92,0.96,0.8,0.92,0.96,0.84,0.96,0.88,0.88,0.88,0.88,0.84,0.84,0.92,0.8,0.96,0.92,0.92,0.96,0.92,0.96,0.88,0.88,0.92,0.88,0.92,0.88,0.92,0.88,0.96,0.84
24,T_PFmean,0.88,0.88,0.88,0.88,0.84,0.92,0.88,0.92,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.88,0.84,0.96,0.84,0.88,0.88,0.84,0.88,0.92,0.92,0.88,0.92,0.88,0.84,0.92,0.84,0.88,0.92,0.96,0.92,0.88,0.92,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.92,0.88,0.92
25,T_PFmedian,0.88,0.88,0.88,0.88,0.84,0.92,0.92,0.88,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.92,0.96,0.96,0.88,0.84,0.96,0.84,0.88,0.92,0.84,0.88,0.92,0.92,0.88,0.92,0.88,0.88,0.92,0.8,0.88,0.92,0.96,0.92,0.88,0.88,0.88,0.88,0.92,0.88,0.84,0.88,0.92,0.92,0.92,0.92
26,Tigress,0.88,0.88,0.88,0.88,0.84,0.88,0.88,0.92,0.84,0.88,0.88,0.96,0.88,0.92,0.88,0.96,0.96,0.96,0.88,0.84,0.96,0.84,0.88,0.88,0.84,0.88,0.92,0.92,0.88,0.88,0.88,0.84,0.92,0.84,0.88,0.92,0.96,0.92,0.88,0.92,0.84,0.88,0.92,0.88,0.84,0.88,0.88,0.92,0.88,0.96
