,Method_name,sim14Sub001,sim14Sub002,sim14Sub003,sim14Sub004,sim14Sub005,sim14Sub006,sim14Sub007,sim14Sub008,sim14Sub009,sim14Sub010,sim14Sub011,sim14Sub012,sim14Sub013,sim14Sub014,sim14Sub015,sim14Sub016,sim14Sub017,sim14Sub018,sim14Sub019,sim14Sub020,sim14Sub021,sim14Sub022,sim14Sub023,sim14Sub024,sim14Sub025,sim14Sub026,sim14Sub027,sim14Sub028,sim14Sub029,sim14Sub030,sim14Sub031,sim14Sub032,sim14Sub033,sim14Sub034,sim14Sub035,sim14Sub036,sim14Sub037,sim14Sub038,sim14Sub039,sim14Sub040,sim14Sub041,sim14Sub042,sim14Sub043,sim14Sub044,sim14Sub045,sim14Sub046,sim14Sub047,sim14Sub048,sim14Sub049,sim14Sub050
1,BCohF,1,1,0.893333333333333,0.973333333333333,0.933333333333333,1,0.92,0.92,0.946666666666667,0.973333333333333,1,1,0.866666666666667,0.973333333333333,0.933333333333333,1,0.866666666666667,1,0.92,0.893333333333333,0.786666666666667,0.92,0.973333333333333,0.973333333333333,0.866666666666667,1,0.866666666666667,1,1,0.84,0.96,0.96,0.933333333333333,0.866666666666667,0.946666666666667,1,0.973333333333333,0.893333333333333,0.946666666666667,0.946666666666667,0.946666666666667,0.946666666666667,1,0.92,0.786666666666667,0.893333333333333,1,0.866666666666667,0.946666666666667,0.986666666666667
2,BCorrU,1,1,0.893333333333333,0.72,0.92,1,0.906666666666667,0.68,0.773333333333333,0.973333333333333,1,1,0.84,0.946666666666667,1,0.96,0.84,0.933333333333333,0.893333333333333,0.973333333333333,0.893333333333333,0.946666666666667,0.88,1,0.853333333333333,1,0.893333333333333,0.92,0.946666666666667,0.76,0.973333333333333,1,0.706666666666667,0.893333333333333,0.906666666666667,0.906666666666667,0.893333333333333,0.933333333333333,1,1,0.946666666666667,0.84,1,0.88,0.8,0.906666666666667,0.906666666666667,0.92,0.96,0.946666666666667
3,BF_BCmean,0.88,0.88,0.78,0.83,0.84,0.88,0.86,0.71,0.79,0.86,0.88,0.88,0.79,0.86,0.885,0.88,0.76,0.88,0.82,0.84,0.76,0.83,0.81,0.88,0.76,0.88,0.8,0.88,0.88,0.75,0.86,0.865,0.73,0.8,0.86,0.88,0.83,0.82,0.88,0.86,0.845,0.79,0.88,0.8,0.73,0.83,0.84,0.82,0.84,0.85
4,BF_BCmedian,0.88,0.8,0.78,0.8,0.86,0.78,0.68,0.68,0.74,0.75,0.83,0.83,0.58,0.72,0.78,0.86,0.84,0.77,0.83,0.86,0.72,0.7,0.73,0.74,0.78,0.72,0.695,0.74,0.78,0.75,0.71,0.68,0.74,0.72,0.72,0.76,0.8,0.76,0.82,0.72,0.76,0.76,0.79,0.68,0.76,0.62,0.63,0.71,0.78,0.67
5,BF_PF_BCmean,0.88,0.88,0.78,0.83,0.84,0.88,0.865,0.75,0.82,0.86,0.88,0.88,0.8,0.87,0.865,0.88,0.78,0.88,0.82,0.84,0.76,0.84,0.83,0.86,0.76,0.88,0.785,0.88,0.875,0.76,0.87,0.86,0.72,0.79,0.86,0.88,0.86,0.82,0.885,0.85,0.855,0.8,0.88,0.82,0.72,0.84,0.88,0.81,0.84,0.88
6,BF_PF_BCmedian,0.88,0.78,0.8,0.8,0.88,0.72,0.68,0.72,0.78,0.72,0.78,0.8,0.65,0.76,0.75,0.8,0.78,0.86,0.76,0.86,0.68,0.72,0.7,0.7,0.75,0.84,0.72,0.78,0.75,0.78,0.7,0.74,0.74,0.67,0.76,0.76,0.8,0.74,0.76,0.76,0.72,0.79,0.85,0.68,0.7,0.555,0.66,0.69,0.8,0.6
7,BF_PFmean,0.88,0.88,0.8,0.85,0.84,0.88,0.845,0.82,0.85,0.85,0.88,0.88,0.81,0.86,0.84,0.88,0.8,0.875,0.82,0.8,0.72,0.81,0.87,0.86,0.78,0.88,0.775,0.88,0.88,0.77,0.845,0.86,0.82,0.79,0.85,0.88,0.88,0.82,0.88,0.84,0.875,0.84,0.88,0.81,0.75,0.82,0.88,0.78,0.865,0.88
8,BF_PFmedian,0.88,0.785,0.81,0.8,0.88,0.69,0.68,0.72,0.76,0.72,0.76,0.83,0.66,0.76,0.78,0.84,0.78,0.86,0.78,0.86,0.67,0.68,0.72,0.72,0.74,0.84,0.695,0.78,0.74,0.78,0.7,0.75,0.75,0.69,0.75,0.76,0.8,0.74,0.76,0.77,0.725,0.81,0.86,0.66,0.67,0.555,0.655,0.72,0.8,0.62
9,PCohF,1,1,0.92,0.946666666666667,0.973333333333333,0.986666666666667,0.973333333333333,0.92,1,0.946666666666667,1,1,0.92,0.973333333333333,0.946666666666667,1,0.88,1,0.92,0.893333333333333,0.786666666666667,0.893333333333333,1,0.973333333333333,0.893333333333333,1,0.893333333333333,1,1,0.866666666666667,0.946666666666667,0.973333333333333,0.92,0.893333333333333,1,1,0.986666666666667,0.92,0.973333333333333,0.946666666666667,1,0.92,1,0.88,0.813333333333333,0.946666666666667,1,0.893333333333333,1,1
10,PF_BCmean,0.88,0.88,0.79,0.82,0.84,0.88,0.865,0.7,0.8,0.86,0.88,0.88,0.82,0.87,0.88,0.88,0.78,0.885,0.82,0.84,0.77,0.84,0.82,0.86,0.76,0.88,0.8,0.88,0.88,0.74,0.87,0.88,0.72,0.8,0.86,0.88,0.815,0.83,0.88,0.855,0.845,0.8,0.88,0.82,0.73,0.85,0.88,0.82,0.86,0.88
