,sim14Sub001,sim14Sub002,sim14Sub003,sim14Sub004,sim14Sub005,sim14Sub006,sim14Sub007,sim14Sub008,sim14Sub009,sim14Sub010,sim14Sub011,sim14Sub012,sim14Sub013,sim14Sub014,sim14Sub015,sim14Sub016,sim14Sub017,sim14Sub018,sim14Sub019,sim14Sub020,sim14Sub021,sim14Sub022,sim14Sub023,sim14Sub024,sim14Sub025,sim14Sub026,sim14Sub027,sim14Sub028,sim14Sub029,sim14Sub030,sim14Sub031,sim14Sub032,sim14Sub033,sim14Sub034,sim14Sub035,sim14Sub036,sim14Sub037,sim14Sub038,sim14Sub039,sim14Sub040,sim14Sub041,sim14Sub042,sim14Sub043,sim14Sub044,sim14Sub045,sim14Sub046,sim14Sub047,sim14Sub048,sim14Sub049,sim14Sub050
1,1,1,0.856,0.936,0.924,1,0.92,0.864,0.928,0.936,1,1,0.848,0.936,0.924,1,0.848,1,0.92,0.856,0.824,0.864,0.936,0.936,0.904,1,0.904,1,1,0.84,0.932,0.932,0.924,0.848,0.928,1,0.936,0.912,0.928,0.928,0.928,0.928,1,0.92,0.824,0.856,1,0.904,0.928,0.94
2,1,1,0.856,0.748,0.864,1,0.916,0.736,0.764,0.936,1,1,0.84,0.928,1,0.932,0.84,0.868,0.856,0.936,0.856,0.928,0.852,1,0.844,1,0.856,0.92,0.928,0.76,0.936,1,0.744,0.856,0.916,0.916,0.856,0.868,1,1,0.928,0.84,1,0.852,0.772,0.86,0.86,0.92,0.932,0.928
3,0.852,0.852,0.822,0.837,0.84,0.852,0.846,0.801,0.825,0.846,0.852,0.852,0.825,0.846,0.8535,0.852,0.816,0.852,0.834,0.84,0.816,0.837,0.831,0.852,0.816,0.852,0.828,0.852,0.852,0.813,0.846,0.8475,0.807,0.828,0.846,0.852,0.837,0.834,0.852,0.846,0.8415,0.825,0.852,0.828,0.807,0.837,0.84,0.834,0.84,0.843
4,0.852,0.828,0.822,0.828,0.846,0.822,0.792,0.792,0.81,0.813,0.837,0.837,0.762,0.804,0.822,0.846,0.84,0.819,0.837,0.846,0.804,0.798,0.807,0.81,0.822,0.804,0.7685,0.81,0.822,0.813,0.801,0.792,0.81,0.804,0.804,0.816,0.828,0.816,0.834,0.804,0.816,0.816,0.825,0.792,0.816,0.774,0.777,0.801,0.822,0.789
5,0.852,0.852,0.822,0.837,0.84,0.852,0.8475,0.813,0.834,0.846,0.852,0.852,0.828,0.849,0.8195,0.852,0.822,0.852,0.834,0.84,0.816,0.84,0.837,0.846,0.816,0.852,0.7955,0.852,0.8225,0.816,0.849,0.846,0.804,0.825,0.846,0.852,0.846,0.834,0.8535,0.843,0.8165,0.828,0.852,0.834,0.804,0.84,0.852,0.831,0.84,0.852
6,0.852,0.822,0.828,0.828,0.852,0.804,0.792,0.804,0.822,0.804,0.822,0.828,0.783,0.816,0.813,0.828,0.822,0.846,0.816,0.846,0.792,0.804,0.798,0.798,0.813,0.84,0.804,0.822,0.813,0.822,0.798,0.81,0.81,0.789,0.816,0.816,0.828,0.81,0.816,0.816,0.804,0.825,0.843,0.792,0.798,0.7265,0.786,0.795,0.828,0.768
7,0.852,0.852,0.828,0.843,0.84,0.852,0.8415,0.834,0.843,0.843,0.852,0.852,0.831,0.846,0.84,0.852,0.828,0.8225,0.834,0.828,0.804,0.831,0.849,0.846,0.822,0.852,0.7925,0.852,0.852,0.819,0.8415,0.846,0.834,0.825,0.843,0.852,0.852,0.834,0.852,0.84,0.8225,0.84,0.852,0.831,0.813,0.834,0.852,0.822,0.8475,0.852
8,0.852,0.8235,0.831,0.828,0.852,0.795,0.792,0.804,0.816,0.804,0.816,0.837,0.786,0.816,0.822,0.84,0.822,0.846,0.822,0.846,0.789,0.792,0.804,0.804,0.81,0.84,0.7685,0.822,0.81,0.822,0.798,0.813,0.813,0.795,0.813,0.816,0.828,0.81,0.816,0.819,0.7775,0.831,0.846,0.786,0.789,0.7265,0.7565,0.804,0.828,0.774
9,1,1,0.92,0.928,0.936,0.94,0.936,0.92,1,0.928,1,1,0.864,0.936,0.928,1,0.908,1,0.92,0.856,0.824,0.856,1,0.936,0.912,1,0.912,1,1,0.848,0.928,0.936,0.92,0.912,1,1,0.94,0.92,0.936,0.928,1,0.92,1,0.908,0.832,0.928,1,0.912,1,1
10,0.852,0.852,0.825,0.834,0.84,0.852,0.8475,0.798,0.828,0.846,0.852,0.852,0.834,0.849,0.852,0.852,0.822,0.8535,0.834,0.84,0.819,0.84,0.834,0.846,0.816,0.852,0.828,0.852,0.852,0.81,0.849,0.852,0.804,0.828,0.846,0.852,0.8325,0.837,0.852,0.8165,0.8415,0.828,0.852,0.834,0.807,0.843,0.852,0.834,0.846,0.852
