,Method_name,Median_across_patients
1,BCohF,0.92
2,BCorrU,0.92
3,BF_BCmean,0.76
4,BF_BCmedian,0.76
5,BF_PF_BCmean,0.76
6,BF_PF_BCmedian,0.76
7,BF_PFmean,0.76
8,BF_PFmedian,0.76
9,PCohF,0.92
10,PF_BCmean,0.76
11,PF_BCmedian,0.76
12,T_BCmean,0.84
13,T_BCmedian,0.8
14,T_BF_BCmean,0.8
15,T_BF_BCmedian,0.82
16,T_BF_PF_BCmean,0.8
17,T_BF_PF_BCmedian,0.8
18,T_BF_PFmean,0.8
19,T_BF_PFmedian,0.78
20,T_BFmean,0.82
21,T_BFmedian,0.8
22,T_PF_BCmean,0.8
23,T_PF_BCmedian,0.84
24,T_PFmean,0.84
25,T_PFmedian,0.8
26,Tigress,0.84
