,Method_name,Sum_of_avg_across_patients
1,BCohF,46.5866666666667
2,BCorrU,44.1533333333333
3,BF_BCmean,41.7775
4,BF_BCmedian,38.1875
5,BF_PF_BCmean,42.1175
6,BF_PF_BCmedian,37.8625
7,BF_PFmean,42.165
8,BF_PFmedian,38.045
9,PCohF,47.7066666666667
10,PF_BCmean,42.0125
11,PF_BCmedian,38.12
12,T_BCmean,48.7925
13,T_BCmedian,47.945
14,T_BF_BCmean,48.9275
15,T_BF_BCmedian,45.32
16,T_BF_PF_BCmean,48.9175
17,T_BF_PF_BCmedian,44.545
18,T_BF_PFmean,49.0025
19,T_BF_PFmedian,42.485
20,T_BFmean,48.91
21,T_BFmedian,48.185
22,T_PF_BCmean,48.905
23,T_PF_BCmedian,46.4825
24,T_PFmean,48.8625
25,T_PFmedian,48.0425
26,Tigress,48.3425
