,Method_name,Median_across_patients
1,BCohF,0.886666666666667
2,BCorrU,0.866666666666666
3,BF_BCmean,0.83
4,BF_BCmedian,0.79
5,BF_PF_BCmean,0.83
6,BF_PF_BCmedian,0.78875
7,BF_PFmean,0.83
8,BF_PFmedian,0.79
9,PCohF,0.933333333333334
10,PF_BCmean,0.83375
11,PF_BCmedian,0.79
12,T_BCmean,0.94625
13,T_BCmedian,0.9275
14,T_BF_BCmean,0.94
15,T_BF_BCmedian,0.87125
16,T_BF_PF_BCmean,0.92625
17,T_BF_PF_BCmedian,0.85625
18,T_BF_PFmean,0.94
19,T_BF_PFmedian,0.82125
20,T_BFmean,0.9425
21,T_BFmedian,0.935
22,T_PF_BCmean,0.94
23,T_PF_BCmedian,0.89125
24,T_PFmean,0.9525
25,T_PFmedian,0.93625
26,Tigress,0.94125
