,Method_name,Sum_of_avg_across_patients
1,BCohF,42.8
2,BCorrU,42.244
3,BF_BCmean,41.0465
4,BF_BCmedian,40.794
5,BF_PF_BCmean,41.8195
6,BF_PF_BCmedian,40.755
7,BF_PFmean,42.036
8,BF_PFmedian,41.6685
9,PCohF,47.856
10,PF_BCmean,42.1015
11,PF_BCmedian,41.5795
12,T_BCmean,45.2115
13,T_BCmedian,45.0025
14,T_BF_BCmean,45.3685
15,T_BF_BCmedian,41.985
16,T_BF_PF_BCmean,45.5175
17,T_BF_PF_BCmedian,43.9645
18,T_BF_PFmean,45.744
19,T_BF_PFmedian,44.0945
20,T_BFmean,45.4375
21,T_BFmedian,45.36
22,T_PF_BCmean,45.7285
23,T_PF_BCmedian,43.845
24,T_PFmean,45.651
25,T_PFmedian,45.3925
26,Tigress,44.7685
