,Method_name,Median_across_patients
1,BCohF,0.852
2,BCorrU,0.84
3,BF_BCmean,0.822
4,BF_BCmedian,0.81
5,BF_PF_BCmean,0.822
6,BF_PF_BCmedian,0.813
7,BF_PFmean,0.8235
8,BF_PFmedian,0.816
9,PCohF,0.862
10,PF_BCmean,0.822
11,PF_BCmedian,0.81
12,T_BCmean,0.92675
13,T_BCmedian,0.92375
14,T_BF_BCmean,0.92375
15,T_BF_BCmedian,0.888
16,T_BF_PF_BCmean,0.92
17,T_BF_PF_BCmedian,0.877
18,T_BF_PFmean,0.92225
19,T_BF_PFmedian,0.82425
20,T_BFmean,0.92
21,T_BFmedian,0.923
22,T_PF_BCmean,0.923
23,T_PF_BCmedian,0.8895
24,T_PFmean,0.92
25,T_PFmedian,0.923
26,Tigress,0.92375
