,Method_name,Median_across_patients
1,BCohF,0.893333333333333
2,BCorrU,0.866666666666667
3,BF_BCmean,0.8
4,BF_BCmedian,0.8
5,BF_PF_BCmean,0.8
6,BF_PF_BCmedian,0.79
7,BF_PFmean,0.8
8,BF_PFmedian,0.8
9,PCohF,0.906666666666667
10,PF_BCmean,0.8
11,PF_BCmedian,0.8
12,T_BCmean,0.93
13,T_BCmedian,0.93
14,T_BF_BCmean,0.9125
15,T_BF_BCmedian,0.92
16,T_BF_PF_BCmean,0.905
17,T_BF_PF_BCmedian,0.895
18,T_BF_PFmean,0.915
19,T_BF_PFmedian,0.8275
20,T_BFmean,0.94
21,T_BFmedian,0.94
22,T_PF_BCmean,0.91
23,T_PF_BCmedian,0.9275
24,T_PFmean,0.94
25,T_PFmedian,0.94
26,Tigress,0.95
