,Method_name,Sum_of_avg_across_patients
1,BCohF,44.3866666666667
2,BCorrU,42.3333333333333
3,BF_BCmean,39.305
4,BF_BCmedian,39.305
5,BF_PF_BCmean,39.835
6,BF_PF_BCmedian,39.635
7,BF_PFmean,40.32
8,BF_PFmedian,40.32
9,PCohF,45.6066666666667
10,PF_BCmean,39.57
11,PF_BCmedian,39.57
12,T_BCmean,46.095
13,T_BCmedian,46.095
14,T_BF_BCmean,45.585
15,T_BF_BCmedian,45.6
16,T_BF_PF_BCmean,45.05
17,T_BF_PF_BCmedian,44.63
18,T_BF_PFmean,45.76
19,T_BF_PFmedian,41.7
20,T_BFmean,46.295
21,T_BFmedian,46.295
22,T_PF_BCmean,45.635
23,T_PF_BCmedian,45.945
24,T_PFmean,46.44
25,T_PFmedian,46.44
26,Tigress,46.725
