,Method_name,Sum_of_avg_across_patients
1,BCohF,44.96
2,BCorrU,44
3,BF_BCmean,41.96
4,BF_BCmedian,41.92
5,BF_PF_BCmean,41.84
6,BF_PF_BCmedian,41.92
7,BF_PFmean,41.88
8,BF_PFmedian,41.68
9,PCohF,46
10,PF_BCmean,41.88
11,PF_BCmedian,41.8
12,T_BCmean,46.96
13,T_BCmedian,46.84
14,T_BF_BCmean,47
15,T_BF_BCmedian,46.72
16,T_BF_PF_BCmean,46.76
17,T_BF_PF_BCmedian,45.24
18,T_BF_PFmean,47
19,T_BF_PFmedian,42.84
20,T_BFmean,47.12
21,T_BFmedian,47
22,T_PF_BCmean,47
23,T_PF_BCmedian,46.88
24,T_PFmean,47.28
25,T_PFmedian,46.92
26,Tigress,47.2
